status,gender,num_of_item,order_month
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,3,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,4,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,4,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,3,1
Cancelled,F,3,1
Cancelled,F,2,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,1,1
Cancelled,F,2,1
